appointment_type,employee_id,item_no,first_name,middle_name,last_name,extension_name,gender,birthday,age,location,position,rate_per_day,employment_start,employment_end,source_of_fund,office_assignment
Regular Permanent,,ITM-1128,Robert,Nicole,Evans,III,Male,03/01/1966,59,Jaredhaven,Facilities manager,914.69,07/09/2020,13/09/2025,General Fund,OFFICE OF THE MUNICIPAL ACCOUNTANT
Coterminous,,ITM-1129,Austin,Ann,Olson,III,Female,12/11/2002,23,West Christopher,Mining engineer,783.99,07/10/2021,14/07/2025,General Fund,GENERAL SERVICES OFFICE
Provisional,,ITM-1130,Andrew,Jim,Hayden,III,Female,27/10/1989,36,North Madison,Statistician,1627.17,28/08/2023,23/07/2024,Others,OFFICE OF THE MUNICIPAL ENGINEER
Coterminous - Temporary,,ITM-1131,Stephen,Carrie,Hall,Sr.,Male,23/07/1976,49,Paulborough,Media buyer,1298.64,27/12/2022,18/12/2025,Others,SOCIAL WELFARE & DEVELOPMENT OFFICER
Casual,,ITM-1132,Stephanie,Connor,Combs,III,Female,18/05/1999,26,South Melissamouth,"Biochemist, clinical",1862.65,16/10/2020,24/12/2026,General Fund,OFFICE OF THE MUNICIPAL TREASURER
Job Order,EMP-2133,,Tiffany,Felicia,Estrada,III,Female,20/11/1974,51,North Monique,Corporate treasurer,876.11,05/12/2020,04/07/2023,Others,GENERAL SERVICES OFFICE
Substitute,,ITM-1134,Sydney,Gina,Allen,III,Male,19/11/1990,35,Wendybury,Public house manager,1602.56,05/03/2021,26/06/2022,20% Development Fund,OFFICE OF THE MUNICIPAL ASSESSOR
Coterminous - Temporary,,ITM-1135,Lisa,Leslie,Alexander,Sr.,Female,23/07/1994,31,Port Lisa,"Engineer, structural",1410.88,19/09/2022,12/06/2026,General Fund,OFFICE OF THE MAYOR
Casual,,ITM-1136,Cameron,Frederick,Zamora,,Female,02/07/1995,30,East Steven,General practice doctor,605.76,30/11/2020,05/02/2023,20% Development Fund,MUNICIPAL PLANNING & DEVELOPMENT COORDINATOR
Contractual,,ITM-1137,Jill,Dustin,Webb,Sr.,Male,08/07/1991,34,Pattonfurt,Press sub,794.29,10/07/2023,05/02/2026,General Fund,GENERAL SERVICES OFFICE
Casual,,ITM-1138,Tiffany,Jared,Perez,Jr.,Male,29/08/1997,28,Tranmouth,Furniture designer,1601.5,18/02/2024,24/01/2026,SEF,HUMAN RESOURCE MANAGEMENT OFFICE
Coterminous - Temporary,,ITM-1139,Bradley,Christopher,Martinez,Jr.,Female,05/06/1981,44,Micheleberg,Adult guidance worker,1156.46,29/03/2022,14/12/2024,SEF,OFFICE OF THE MUNICIPAL ASSESSOR
Job Order,EMP-2140,,Keith,Nicole,Cooper,Jr.,Male,03/05/1975,50,Lake Austinchester,Fashion designer,842.81,13/02/2025,30/08/2025,20% Development Fund,SOCIAL WELFARE & DEVELOPMENT OFFICER
Job Order,EMP-2141,,Lauren,Ernest,Davis,Jr.,Male,24/07/1999,26,Beckshire,Biomedical scientist,648.03,28/08/2022,08/11/2024,20% Development Fund,OFFICE OF THE MUNICIPAL ASSESSOR
Elected,,ITM-1142,Karen,Anne,Reed,III,Female,09/09/1966,59,Port Jeremy,"Production assistant, television",1332.99,16/04/2025,22/11/2026,SEF,SOCIAL WELFARE & DEVELOPMENT OFFICER
Coterminous - Temporary,,ITM-1143,Andrea,Tonya,King,III,Male,02/01/1997,28,West Robinborough,"Nurse, learning disability",1130.4,17/07/2021,13/07/2026,Others,OFFICE OF THE MUNICIPAL ACCOUNTANT
Elected,,ITM-1144,David,Timothy,Greene,,Female,12/12/2001,24,East Jenniferville,Best boy,655.9,19/11/2020,30/04/2024,General Fund,MUNICIPAL PLANNING & DEVELOPMENT COORDINATOR
Regular Permanent,,ITM-1145,Micheal,Justin,Velasquez,,Female,24/08/1991,34,Christianchester,"Teacher, special educational needs",1974.39,19/05/2021,07/09/2026,General Fund,OFFICE OF THE SANGUNIANG BAYAN
Regular Permanent,,ITM-1146,Louis,Kenneth,Williams,,Male,21/01/1988,37,Lake Larry,"Pharmacist, community",850.13,20/04/2025,07/11/2025,Others,OFFICE OF THE MUNICIPAL BUDGET OFFICER
Temporary,,ITM-1147,James,Eric,Gonzales,Jr.,Male,25/07/1998,27,Port Linda,"Production assistant, television",1304.56,25/02/2021,25/10/2024,General Fund,OFFICE OF THE MAYOR
Job Order,EMP-2148,,Lorraine,Debra,Lewis,III,Male,11/02/1991,34,North Timothymouth,Building services engineer,1224.76,22/01/2022,04/06/2025,Others,OFFICE OF THE MUNICIPAL AGRICULTURIST
Provisional,,ITM-1149,Sean,Mason,Jones,Jr.,Male,15/11/1967,58,New Donna,Nutritional therapist,1931,30/05/2023,02/11/2023,20% Development Fund,SOCIAL WELFARE & DEVELOPMENT OFFICER
Coterminous,,ITM-1150,Jacqueline,Jeremy,Duran,Sr.,Male,08/06/1994,31,Walterborough,"Teacher, English as a foreign language",579.82,04/03/2024,08/09/2024,SEF,OFFICE OF THE MUNICIPAL HEALTH OFFICER
Casual,,ITM-1151,Dennis,Cindy,Lowe,,Male,25/08/2002,23,Lake Michaelburgh,"Designer, furniture",370.64,09/08/2023,20/11/2023,General Fund,OFFICE OF THE LOCAL REGISTRAR
Contractual,,ITM-1152,Robert,Alan,Hernandez,Sr.,Female,15/05/1989,36,Andrewsside,Adult guidance worker,833.81,10/07/2021,17/11/2026,20% Development Fund,OFFICE OF THE MUNICIPAL HEALTH OFFICER
Coterminous - Temporary,,ITM-1153,Sally,Sandy,Martin,Sr.,Female,10/09/1980,45,North Debratown,Mudlogger,1993.86,28/05/2022,14/02/2025,Others,OFFICE OF THE LOCAL REGISTRAR
Provisional,,ITM-1154,Kyle,Greg,Tucker,Jr.,Female,23/12/1972,53,Port Brianton,Health physicist,1263.4,13/01/2025,08/06/2026,SEF,OFFICE OF THE MUNICIPAL HEALTH OFFICER
Provisional,,ITM-1155,Julie,Edwin,Tran,Sr.,Female,14/03/1986,39,West Taylor,Cartographer,1786.53,07/01/2021,14/04/2023,SEF,OFFICE OF THE MUNICIPAL ASSESSOR
Coterminous - Temporary,,ITM-1156,Michelle,John,Harrison,,Female,16/05/1972,53,Johnsonberg,Stage manager,1948.88,27/05/2021,31/12/2026,Others,MUNICIPAL PLANNING & DEVELOPMENT COORDINATOR
Provisional,,ITM-1157,Joshua,Ellen,Gilbert,Jr.,Female,21/10/1985,40,Andrewburgh,Heritage manager,1598.45,12/04/2023,10/06/2024,SEF,ERGONOMIC ENTERPRISE DEVELOPMENT MANAGEMENT
Temporary,,ITM-1158,James,Erik,Dominguez,,Male,14/11/1985,40,Alecchester,Research scientist (life sciences),372.92,30/06/2020,15/01/2026,Others,OFFICE OF THE MUNICIPAL ASSESSOR
Provisional,,ITM-1159,Alice,Paul,Caldwell,III,Male,06/07/1982,43,Mccallhaven,Public affairs consultant,1264.01,10/02/2024,22/09/2024,SEF,LOCAL DISASTER RISK REDUCTION & MANAGEMENT
Coterminous,,ITM-1160,Brandon,Marcia,Harrell,III,Male,02/08/1970,55,East Petershire,Horticultural therapist,1665.42,14/09/2023,10/05/2026,General Fund,OFFICE OF THE MUNICIPAL ENGINEER
Regular Permanent,,ITM-1161,Lynn,Timothy,Davis,III,Male,09/11/1990,35,Hamiltonborough,Best boy,336.96,10/06/2021,13/10/2025,Others,ERGONOMIC ENTERPRISE DEVELOPMENT MANAGEMENT
Coterminous - Temporary,,ITM-1162,Brandy,Tony,Perez,Jr.,Male,03/03/1986,39,South Carolyn,"Scientist, research (physical sciences)",1240.56,21/08/2023,21/10/2023,Others,LOCAL DISASTER RISK REDUCTION & MANAGEMENT
Casual,,ITM-1163,Darlene,Michael,Parker,Sr.,Female,01/09/1977,48,East Johnberg,Agricultural engineer,1500.75,14/08/2021,11/12/2021,20% Development Fund,OFFICE OF THE MUNICIPAL ACCOUNTANT
Coterminous - Temporary,,ITM-1164,Joshua,Jay,Wiley,,Female,04/08/1974,51,New Katelyn,Publishing rights manager,1438.95,13/01/2021,25/07/2025,Others,OFFICE OF THE MUNICIPAL AGRICULTURIST
Substitute,,ITM-1165,Maria,Dominique,Baldwin,Sr.,Female,01/12/1978,47,West Christine,Agricultural engineer,1367.27,25/05/2021,16/03/2023,General Fund,MUNICIPAL ENVIRONMENT AND NATURAL RESOURCES OFFICE
Coterminous,,ITM-1166,Molly,Dustin,Davis,Jr.,Female,20/04/1977,48,Wellshaven,"Optician, dispensing",380.85,21/12/2021,25/11/2023,20% Development Fund,LOCAL DISASTER RISK REDUCTION & MANAGEMENT
Elected,,ITM-1167,Jason,Duane,Wood,Sr.,Male,16/07/1988,37,Port Ashleymouth,"Engineer, broadcasting (operations)",862.15,04/09/2024,20/07/2025,SEF,LOCAL DISASTER RISK REDUCTION & MANAGEMENT
Job Order,EMP-2168,,Lisa,Christine,Jones,,Male,18/08/1967,58,South Brittanytown,Network engineer,1921.52,09/11/2023,18/05/2025,General Fund,OFFICE OF THE MUNICIPAL BUDGET OFFICER
Job Order,EMP-2169,,Jacqueline,Ivan,Howell,Sr.,Male,06/04/1988,37,New Victoriaburgh,Metallurgist,1305.12,13/12/2022,09/06/2024,Others,MUNICIPAL ENVIRONMENT AND NATURAL RESOURCES OFFICE
Temporary,,ITM-1170,Evelyn,Kristen,Roberts,Jr.,Female,14/05/2001,24,Lake Jon,Sports development officer,1221.94,05/04/2021,18/05/2025,Others,OFFICE OF THE MUNICIPAL ENGINEER
Substitute,,ITM-1171,Shelley,Gabriela,Torres,,Female,07/11/1985,40,Davidfurt,"Nurse, children's",892.93,18/02/2024,09/03/2027,SEF,SOCIAL WELFARE & DEVELOPMENT OFFICER
Elected,,ITM-1172,Christopher,Jay,Sutton,,Female,18/03/1999,26,Hollandmouth,Chief Marketing Officer,1106.43,07/09/2022,23/06/2026,SEF,OFFICE OF THE MUNICIPAL ENGINEER
Regular Permanent,,ITM-1173,Stephanie,John,Shaffer,III,Male,09/11/1981,44,Edwinstad,"Teacher, early years/pre",585.01,12/05/2024,18/03/2027,Others,OFFICE OF THE SANGUNIANG BAYAN
Provisional,,ITM-1174,John,Barbara,Shaffer,,Female,27/06/1993,32,Lake Kathleen,Microbiologist,1464.98,16/09/2021,01/05/2022,General Fund,OFFICE OF THE MAYOR
Regular Permanent,,ITM-1175,Catherine,Savannah,Miles,III,Male,24/02/1997,28,New Steven,Data scientist,856.46,30/10/2022,05/12/2025,SEF,OFFICE OF THE MAYOR
Coterminous,,ITM-1176,James,Luke,Griffin,Sr.,Male,25/01/1966,59,Danielberg,Writer,1358.12,28/09/2020,20/04/2027,Others,OFFICE OF THE MUNICIPAL TREASURER
Contractual,,ITM-1177,Kevin,Amanda,Hanson,,Male,16/04/1973,52,Reyesfort,"Therapist, nutritional",1080,03/06/2022,22/06/2025,SEF,HUMAN RESOURCE MANAGEMENT OFFICE
Provisional,,ITM-1178,Carlos,Audrey,Cox,Sr.,Female,16/10/1986,39,South Michael,Barista,1219.25,17/10/2024,22/07/2026,20% Development Fund,OFFICE OF THE MAYOR
Contractual,,ITM-1179,Evan,Thomas,Barron,Jr.,Female,19/10/1976,49,Murphyfort,Travel agency manager,1610.85,07/07/2021,27/01/2023,General Fund,OFFICE OF THE MUNICIPAL ACCOUNTANT
Coterminous - Temporary,,ITM-1180,Beth,Sarah,Richards,Jr.,Female,09/10/1972,53,Briggsmouth,Network engineer,1538.38,19/07/2023,01/06/2025,General Fund,ERGONOMIC ENTERPRISE DEVELOPMENT MANAGEMENT
Contractual,,ITM-1181,Ronald,Stephanie,Davis,III,Female,28/09/2001,24,New Jennifer,Careers adviser,1835.98,08/05/2024,12/07/2024,SEF,OFFICE OF THE LOCAL REGISTRAR
Coterminous - Temporary,,ITM-1182,Leah,Kaitlin,Freeman,III,Male,21/11/2000,25,Jennaside,Exhibition designer,1635.45,09/10/2023,05/04/2027,Others,OFFICE OF THE MUNICIPAL HEALTH OFFICER
Provisional,,ITM-1183,Darius,Sarah,Hicks,,Male,01/09/1990,35,Maryburgh,"Scientist, biomedical",1154.18,24/03/2023,14/01/2027,20% Development Fund,ERGONOMIC ENTERPRISE DEVELOPMENT MANAGEMENT
Temporary,,ITM-1184,Danielle,Ashley,Hobbs,,Female,23/07/1983,42,Fieldsside,Location manager,652.74,01/03/2023,19/05/2024,General Fund,OFFICE OF THE MUNICIPAL ASSESSOR
Elected,,ITM-1185,Michael,Mark,Martinez,Sr.,Male,29/01/1974,51,Keithstad,Herbalist,1712.29,20/02/2023,07/03/2025,SEF,SOCIAL WELFARE & DEVELOPMENT OFFICER
Substitute,,ITM-1186,Teresa,Allison,Smith,Jr.,Female,26/02/1970,55,Goldenview,Immigration officer,645.71,20/04/2023,22/11/2025,Others,OFFICE OF THE MUNICIPAL ACCOUNTANT
Provisional,,ITM-1187,Gregory,Donna,Duncan,Sr.,Male,22/11/1998,27,Robinport,Dentist,1484.23,26/10/2021,18/10/2022,Others,OFFICE OF THE SANGUNIANG BAYAN
Elected,,ITM-1188,Caleb,Sheri,Hoffman,,Female,08/12/1972,53,Port Morgan,"Engineer, structural",552.23,13/10/2020,26/08/2026,SEF,OFFICE OF THE MAYOR
Coterminous - Temporary,,ITM-1189,Thomas,Alexandra,Johnson,,Male,25/05/1971,54,Port Brandon,Advertising copywriter,552.16,19/02/2025,28/09/2026,General Fund,SOCIAL WELFARE & DEVELOPMENT OFFICER
Regular Permanent,,ITM-1190,Aaron,Priscilla,Smith,Jr.,Male,20/04/1993,32,Claytonshire,Meteorologist,994.3,08/11/2023,24/07/2026,General Fund,GENERAL SERVICES OFFICE
Substitute,,ITM-1191,Nicholas,Stephanie,Green,III,Male,24/01/2004,21,South Kimton,"Engineer, agricultural",1165.26,24/09/2020,21/06/2024,General Fund,OFFICE OF THE LOCAL REGISTRAR
Temporary,,ITM-1192,Barbara,Anne,Rodgers,Jr.,Female,22/03/1977,48,North Susanfort,Occupational psychologist,470.59,18/12/2021,16/01/2023,20% Development Fund,MUNICIPAL ENVIRONMENT AND NATURAL RESOURCES OFFICE
Coterminous - Temporary,,ITM-1193,Alexander,Hailey,Moore,,Male,04/09/1994,31,West Justinshire,"Exhibitions officer, museum/gallery",1439.32,08/05/2022,06/05/2023,Others,GENERAL SERVICES OFFICE
Temporary,,ITM-1194,Jessica,Linda,Smith,Sr.,Female,22/10/1983,42,North Pamela,Hydrologist,760.27,03/02/2025,19/03/2026,20% Development Fund,OFFICE OF THE MUNICIPAL BUDGET OFFICER
Coterminous - Temporary,,ITM-1195,Marie,Paul,Fox,Jr.,Female,10/07/1998,27,East Brianville,"Engineer, land",930.25,09/07/2020,13/09/2020,Others,OFFICE OF THE MUNICIPAL HEALTH OFFICER
Temporary,,ITM-1196,Cynthia,Maria,Mcneil,III,Female,14/04/1970,55,Susanberg,Horticultural therapist,865.19,10/06/2021,12/01/2022,SEF,LOCAL DISASTER RISK REDUCTION & MANAGEMENT
Elected,,ITM-1197,Samuel,Holly,Johnson,Sr.,Male,11/03/1994,31,North Andreberg,Theme park manager,385.47,21/08/2022,05/07/2024,20% Development Fund,SOCIAL WELFARE & DEVELOPMENT OFFICER
Elected,,ITM-1198,John,Jose,Lara,Jr.,Female,28/07/1982,43,Lake Chelsea,"Pharmacist, hospital",741.49,16/03/2023,30/11/2023,General Fund,OFFICE OF THE MUNICIPAL TREASURER
Coterminous,,ITM-1199,Patricia,Troy,Blair,III,Female,13/02/1973,52,Elizabethchester,Building surveyor,535.06,16/06/2020,01/08/2021,General Fund,HUMAN RESOURCE MANAGEMENT OFFICE
